identity,kind,current_authority,current_grounding,target_authority,native_sysml_candidate,upstream_candidate,api_representation_known,runtime_implementation,migration_lane,semantic_change_required,owning_exit,unresolved_questions
EngineeringIncrement,class,authored YAML contract + kernel file,kernel declaration (part def EngineeringIncrement),DE4SDV kernel-library declaration + generated projection,partial,n/a,yes (kernel binding),bound via KernelBindingIndex,O (migrate contract text to model-resident/projection),no,O,
FeatureIncrement,class,authored YAML contract + kernel file,kernel declaration (part def FeatureIncrement),DE4SDV kernel-library declaration + generated projection,partial,n/a,yes (kernel binding),bound via KernelBindingIndex,O (migrate contract text to model-resident/projection),no,O,
NeedsRequirementsIncrement,class,authored YAML contract + kernel file,kernel declaration (part def NeedsRequirementsIncrement),DE4SDV kernel-library declaration + generated projection,partial,n/a,yes (kernel binding),bound via KernelBindingIndex,O (migrate contract text to model-resident/projection),no,O,
IncrementEngineeringQuestion,class,authored YAML contract + kernel file,kernel declaration (part def IncrementEngineeringQuestion),DE4SDV kernel-library declaration + generated projection,partial,n/a,yes (kernel binding),bound via KernelBindingIndex,O (migrate contract text to model-resident/projection),no,O,
IncrementLifecycleDecision,class,authored YAML contract + kernel file,kernel declaration (part def IncrementLifecycleDecision),DE4SDV kernel-library declaration + generated projection,partial,n/a,yes (kernel binding),bound via KernelBindingIndex,O (migrate contract text to model-resident/projection),no,O,
IncrementTraceabilityShell,class,authored YAML contract + kernel file,kernel declaration (part def IncrementTraceabilityShell),DE4SDV kernel-library declaration + generated projection,partial,n/a,yes (kernel binding),bound via KernelBindingIndex,O (migrate contract text to model-resident/projection),no,O,
MethodPhase,class,authored YAML contract + kernel file,kernel declaration (enum def MethodPhase),DE4SDV kernel-library declaration + generated projection,partial,n/a,yes (kernel binding),bound via KernelBindingIndex,O (migrate contract text to model-resident/projection),no,O,
SignalMappingDisposition,class,authored YAML contract + kernel file,kernel declaration (enum def SignalMappingDisposition),DE4SDV kernel-library declaration + generated projection,partial,n/a,yes (kernel binding),bound via KernelBindingIndex,O (migrate contract text to model-resident/projection),no,O,
LogicalToSoftwareSignalMappingRecord,class,authored YAML contract + kernel file,kernel declaration (item def LogicalToSoftwareSignalMappingRecord),DE4SDV kernel-library declaration + generated projection,partial,n/a,yes (kernel binding),bound via KernelBindingIndex,O (migrate contract text to model-resident/projection),no,O,
SystemToSoftwareSignalMappingCandidate,class,authored YAML contract + kernel file,kernel declaration (allocation def SystemToSoftwareSignalMappingCandidate),DE4SDV kernel-library declaration + generated projection,partial,n/a,yes (kernel binding),bound via KernelBindingIndex,O (migrate contract text to model-resident/projection),no,O,
IncrementSize,class,authored YAML contract + kernel file,kernel declaration (enum def IncrementSize),DE4SDV kernel-library declaration + generated projection,partial,n/a,yes (kernel binding),bound via KernelBindingIndex,O (migrate contract text to model-resident/projection),no,O,
SystemLayer,class,authored YAML contract + kernel file,kernel declaration (part def SystemLayer),DE4SDV kernel-library declaration + generated projection,partial,n/a,yes (kernel binding),bound via KernelBindingIndex,O (migrate contract text to model-resident/projection),no,O,
ProductLine,class,authored YAML contract + kernel file,kernel declaration (part def ProductLine),DE4SDV kernel-library declaration + generated projection,partial,n/a,yes (kernel binding),bound via KernelBindingIndex,O (migrate contract text to model-resident/projection),no,O,
MemberProduct,class,authored YAML contract + kernel file,kernel declaration (part def ProductLineMemberProduct),DE4SDV kernel-library declaration + generated projection,partial,n/a,yes (kernel binding),bound via KernelBindingIndex,O (migrate contract text to model-resident/projection),no,O,
Feature,class,authored YAML contract + kernel file,kernel declaration (part def ProductLineFeatureCandidate),DE4SDV kernel-library declaration + generated projection,partial,n/a,yes (kernel binding),bound via KernelBindingIndex,O (migrate contract text to model-resident/projection),no,O,
ProductLineCharacteristic,class,authored YAML contract + kernel file,kernel declaration (part def ProductLineCharacteristic),DE4SDV kernel-library declaration + generated projection,partial,n/a,yes (kernel binding),bound via KernelBindingIndex,O (migrate contract text to model-resident/projection),no,O,
CommonCapability,class,authored YAML contract + kernel file,kernel declaration (part def CommonProductLineCapability),DE4SDV kernel-library declaration + generated projection,partial,n/a,yes (kernel binding),bound via KernelBindingIndex,O (migrate contract text to model-resident/projection),no,O,
DeferredProductLineScope,class,authored YAML contract + kernel file,kernel declaration (part def DeferredProductLineScope),DE4SDV kernel-library declaration + generated projection,partial,n/a,yes (kernel binding),bound via KernelBindingIndex,O (migrate contract text to model-resident/projection),no,O,
VariationPoint,class,authored YAML contract (native grounding),native: SysML v2 variation definition/usage,native SysML construct,yes,PLEML/native variation,partial,vocabulary-only,O (native grounding; PLE-S maps variation constructs),no,O,
Variant,class,authored YAML contract (native grounding),native: SysML v2 variant usage,native SysML construct,yes,PLEML/native variation,partial,vocabulary-only,O (native grounding; PLE-S maps variant usages),no,O,
FeatureConfiguration,class,authored YAML contract (external grounding),external: Bill-of-Features records under model-based-product-line-engi,PLE/PLEML model-native authority for the admitted scope (PLE-S/A cutover); external BoF YAML remains operational authority only until cutover,no,PLEML/native variation,no,vocabulary-only,PLE (PLE-S/A until model-native cutover; stays external BoF until then),unresolved,PLE,semantic change unresolved — plan §10/§12
Stakeholder,class,authored YAML contract + kernel file,kernel declaration (part def Stakeholder),DE4SDV kernel-library declaration + generated projection,partial,n/a,yes (kernel binding),bound via KernelBindingIndex,O (migrate contract text to model-resident/projection),no,O,
Concern,class,authored YAML contract (native grounding),native: SysML v2 concern def and concern usage; kernel examples in D,native SysML construct,yes,n/a,partial,vocabulary-only,O (native concern def),no,O,
Need,class,authored YAML contract + kernel file,kernel declaration (requirement def StakeholderNeedCandidate),DE4SDV kernel-library declaration + generated projection,partial,n/a,yes (kernel binding),bound via KernelBindingIndex,O (migrate contract text to model-resident/projection),no,O,
Requirement,class,authored YAML contract + kernel file,kernel declaration (requirement def RequirementCandidate),DE4SDV kernel-library declaration + generated projection,partial,n/a,yes (kernel binding),bound via KernelBindingIndex,O (migrate contract text to model-resident/projection),no,O,
ProblemStatement,class,authored YAML contract + kernel file,kernel declaration (requirement def ProblemStatement),DE4SDV kernel-library declaration + generated projection,partial,n/a,yes (kernel binding),bound via KernelBindingIndex,O (migrate contract text to model-resident/projection),no,O,
ArchitectureDecisionRecord,class,authored YAML contract + kernel file,kernel declaration (part def ArchitectureDecisionRecord),DE4SDV kernel-library declaration + generated projection,partial,n/a,yes (kernel binding),bound via KernelBindingIndex,O (migrate contract text to model-resident/projection),no,O,
RegulatoryConstraint,class,authored YAML contract + kernel file,kernel declaration (requirement def RegulatoryConstraintCandidate),DE4SDV kernel-library declaration + generated projection,partial,n/a,yes (kernel binding),bound via KernelBindingIndex,O (migrate contract text to model-resident/projection),no,O,
ArchitectureElement,class,authored YAML contract (native grounding),"native: part def, port def, and behavior definitions in feature and ",native SysML construct,yes,n/a,partial,vocabulary-only,O (native part/port/behavior defs),no,O,
Function,class,authored YAML contract (native grounding),native: SysML v2 action/state/behavior definitions in functional-arc,native SysML construct,yes,n/a,partial,vocabulary-only,O (native action/state/behavior defs),no,O,
LogicalElement,class,authored YAML contract (native grounding),native: part def elements in logical-architecture slices,native SysML construct,yes,n/a,partial,vocabulary-only,O (native part defs),no,O,
PhysicalElement,class,authored YAML contract (native grounding),native: part def elements in physical/software realization slices,native SysML construct,yes,n/a,partial,vocabulary-only,O (native part defs),no,O,
Interface,class,authored YAML contract (native grounding),native: SysML v2 port def and connection elements,native SysML construct,yes,n/a,partial,vocabulary-only,O (native port def/connection),no,O,
Scenario,class,authored YAML contract (native grounding),native: Operational-context parts plus scenario-identity enums (for ,native SysML construct,yes,n/a,partial,vocabulary-only,O (native parts + identity enums),no,O,
VerificationCase,class,authored YAML contract (native grounding),native: SysML v2 verification def; see aebs and middleware verificat,native SysML construct,yes,n/a,partial,vocabulary-only,O (native verification def),no,O,
ValidationScenario,class,authored YAML contract (native grounding),native: Scenario parts with bounded validation outcomes (for example,native SysML construct,yes,n/a,partial,vocabulary-only,O (native parts with bounded outcomes),no,O,
VerificationMethod,class,authored YAML contract (external grounding),external: ODE4HERA requirements-management library verificationMethod ,external governed system / model reference,no,ODE4HERA,no,vocabulary-only,O (upstream ODE4HERA attribute; preserve vocabulary),no,O,
AcceptanceCriterion,class,authored YAML contract + kernel file,kernel declaration (requirement def MiddlewareAcceptanceCriterion),DE4SDV kernel-library declaration + generated projection,partial,n/a,yes (kernel binding),bound via KernelBindingIndex,O (migrate contract text to model-resident/projection),no,O,
EvidenceArtifact,class,authored YAML contract (external grounding),external: Evidence registers and retained-evidence items referenced by,external governed system / model reference,no,n/a,no,vocabulary-only,T/E (evidence-reference modeling per plan §12),unresolved,T/E,semantic change unresolved — plan §10/§12
EvidenceContract,class,authored YAML contract (native grounding),native: Requirement usages verified by SysML v2 verification cases i,native SysML construct,yes,n/a,partial,vocabulary-only,O,no,O,
EvidenceStatus,class,authored YAML contract (external grounding),external: ODE4HERA requirements-management library VVStatus (NRM A13+A,external governed system / model reference,no,ODE4HERA,no,vocabulary-only,O (upstream VVStatus; preserve),no,O,
